userid,attractionid,attraction,attractiontype,rating
70456,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
7567,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
79069,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
31019,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
43611,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
43471,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
76492,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
20977,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
18655,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
62907,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
86054,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
41979,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
38726,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
67147,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
2307,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
3660,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
50130,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
30450,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
82637,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
33716,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
46517,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,1
50127,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
61876,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
16769,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
9804,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
44419,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
84531,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
83915,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
62742,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
47615,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
85459,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
71946,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
54719,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
16291,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
18137,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,1
37338,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
18628,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
47542,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,3
71155,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
73515,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
1953,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
31372,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
35045,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
79488,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,2
14186,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
78554,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
30511,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
50138,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
83974,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
40006,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
50311,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
56894,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
36421,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
62902,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
61175,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
61849,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
51784,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
61709,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
64920,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
27538,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
27449,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
64392,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
79911,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
55535,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,5
51283,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
73796,640,Sacred Monkey Forest Sanctuary,Nature & Wildlife Areas,4
