attractionid,attraction,visit_count
640,Sacred Monkey Forest Sanctuary,13198
841,Waterbom Bali,6429
748,Tegalalang Rice Terrace,5815
824,Uluwatu Temple,3359
737,Tanah Lot Temple,3352
650,Sanur Beach,3044
673,Seminyak Beach,2914
369,Kuta Beach - Bali,2765
1171,Merapi Volcano,2235
749,Tegenungan Waterfall,2190
481,Nusa Dua Beach,2104
1166,Malioboro Road,1324
1278,Ullen Sentalu Museum,978
1297,Yogyakarta Palace,798
888,Bromo Tengger Semeru National Park,381
1220,Ramayana Ballet at Prambanan,377
1238,Sewu Temple,377
1280,Water Castle (Tamansari),373
1225,Ratu Boko Temple,204
1133,Jomblang Cave,135
1137,Kalibiru National Park,130
947,Mount Semeru Volcano,83
937,Malang City Square,64
897,Coban Rondo Waterfall,55
913,Goa Cina Beach,54
975,Sempu Island,53
920,Jodipan Colorful Village,44
877,Balekambang Beach,36
949,Museum Malang Tempo Doeloe,31
928,Khayangan Reflexology & Massage,28
