attractionid,attraction,visit_count,average_rating
947,Mount Semeru Volcano,83,4.698795180722891
841,Waterbom Bali,6429,4.646601337688598
888,Bromo Tengger Semeru National Park,381,4.611548556430447
928,Khayangan Reflexology & Massage,28,4.571428571428571
1133,Jomblang Cave,135,4.503703703703704
920,Jodipan Colorful Village,44,4.318181818181818
481,Nusa Dua Beach,2104,4.275665399239544
640,Sacred Monkey Forest Sanctuary,13198,4.267085922109411
1278,Ullen Sentalu Museum,978,4.2566462167689165
824,Uluwatu Temple,3359,4.219410538850848
975,Sempu Island,53,4.2075471698113205
737,Tanah Lot Temple,3352,4.19480906921241
1220,Ramayana Ballet at Prambanan,377,4.180371352785146
748,Tegalalang Rice Terrace,5815,4.157523645743766
1238,Sewu Temple,377,4.1246684350132625
913,Goa Cina Beach,54,4.092592592592593
1171,Merapi Volcano,2235,4.079194630872483
949,Museum Malang Tempo Doeloe,31,4.032258064516129
877,Balekambang Beach,36,4.027777777777778
650,Sanur Beach,3044,3.97634691195795
897,Coban Rondo Waterfall,55,3.963636363636364
1225,Ratu Boko Temple,204,3.9362745098039214
749,Tegenungan Waterfall,2190,3.895433789954338
1166,Malioboro Road,1324,3.869335347432024
1137,Kalibiru National Park,130,3.8461538461538463
1280,Water Castle (Tamansari),373,3.8150134048257374
673,Seminyak Beach,2914,3.800617707618394
937,Malang City Square,64,3.578125
1297,Yogyakarta Palace,798,3.5388471177944862
369,Kuta Beach - Bali,2765,3.4151898734177215
