attractiontype,visit_count,average_rating
Water Parks,6429,4.646601337688598
Spas,28,4.571428571428571
Caverns & Caves,135,4.503703703703704
National Parks,511,4.416829745596869
Neighborhoods,44,4.318181818181818
Nature & Wildlife Areas,13251,4.266847785072825
History Museums,978,4.2566462167689165
Religious Sites,6711,4.207122634480704
Ballets,377,4.180371352785146
Points of Interest & Landmarks,6252,4.1311580294305825
Volcanos,2318,4.101380500431406
Ancient Ruins,581,4.058519793459553
Speciality Museums,31,4.032258064516129
Waterfalls,2245,3.8971046770601334
Flea & Street Markets,1324,3.869335347432024
Beaches,10917,3.8457451680864705
Historic Sites,798,3.5388471177944862
