Feature,Importance
num__type_hist_rating,0.5324432652309917
num__attraction_hist_rating,0.2608024097417792
cat__attractiontypeid_13.0,0.04483506233001255
cat__attractiontypeid_76.0,0.041632884492201636
num__type_hist_count,0.03917242874884596
num__user_hist_rating,0.019442615904646108
cat__attractiontypeid_72.0,0.01778797143363035
cat__attractiontypeid_63.0,0.01354003058716542
cat__attraction_countryid_2.0,0.006637630976578008
cat__attractionid_748.0,0.006249757355050591
cat__attractiontypeid_92.0,0.005692800294573355
cat__attractiontypeid_44.0,0.003934717710447177
cat__attractioncityid_3.0,0.0038423374516998836
cat__attractionid_1297.0,0.0020974699472520366
cat__attraction_countryid_1.0,0.0013596296379030453
cat__attractionid_841.0,0.0005289881572228518
cat__user_continentid_4.0,0.0
cat__user_continentid_5.0,0.0
num__attraction_hist_count,0.0
cat__user_regionid_1.0,0.0
cat__user_regionid_2.0,0.0
cat__user_regionid_3.0,0.0
cat__user_regionid_4.0,0.0
cat__user_regionid_5.0,0.0
cat__user_regionid_6.0,0.0
cat__user_regionid_7.0,0.0
cat__user_regionid_8.0,0.0
cat__user_regionid_9.0,0.0
cat__user_regionid_10.0,0.0
cat__user_regionid_11.0,0.0
cat__user_regionid_12.0,0.0
cat__user_regionid_13.0,0.0
cat__user_regionid_14.0,0.0
cat__user_regionid_15.0,0.0
cat__user_regionid_16.0,0.0
cat__user_regionid_17.0,0.0
cat__user_regionid_18.0,0.0
cat__user_regionid_19.0,0.0
cat__user_regionid_20.0,0.0
cat__user_regionid_21.0,0.0
cat__user_countryid_1.0,0.0
cat__user_countryid_2.0,0.0
cat__user_countryid_3.0,0.0
cat__user_countryid_4.0,0.0
cat__user_countryid_5.0,0.0
cat__user_countryid_6.0,0.0
cat__user_countryid_7.0,0.0
cat__user_countryid_8.0,0.0
cat__user_countryid_9.0,0.0
cat__user_countryid_10.0,0.0
cat__user_countryid_11.0,0.0
cat__user_countryid_13.0,0.0
cat__user_countryid_14.0,0.0
cat__user_countryid_15.0,0.0
cat__user_countryid_16.0,0.0
cat__user_countryid_17.0,0.0
cat__user_countryid_18.0,0.0
cat__user_countryid_20.0,0.0
cat__user_countryid_21.0,0.0
cat__user_countryid_22.0,0.0
cat__user_countryid_23.0,0.0
cat__user_countryid_24.0,0.0
cat__user_countryid_26.0,0.0
cat__user_countryid_27.0,0.0
cat__user_countryid_28.0,0.0
cat__user_countryid_30.0,0.0
cat__user_countryid_31.0,0.0
cat__user_countryid_33.0,0.0
cat__user_countryid_34.0,0.0
cat__user_countryid_35.0,0.0
cat__user_countryid_36.0,0.0
cat__user_countryid_37.0,0.0
cat__user_countryid_38.0,0.0
cat__user_countryid_39.0,0.0
cat__user_countryid_40.0,0.0
cat__user_countryid_41.0,0.0
cat__user_countryid_42.0,0.0
cat__user_countryid_43.0,0.0
cat__user_countryid_44.0,0.0
cat__user_countryid_45.0,0.0
cat__user_countryid_46.0,0.0
cat__user_countryid_47.0,0.0
cat__user_countryid_48.0,0.0
cat__user_countryid_50.0,0.0
cat__user_countryid_51.0,0.0
cat__user_countryid_52.0,0.0
cat__user_countryid_53.0,0.0
cat__user_countryid_54.0,0.0
cat__user_countryid_55.0,0.0
cat__user_countryid_56.0,0.0
cat__user_countryid_57.0,0.0
cat__user_countryid_58.0,0.0
cat__user_countryid_60.0,0.0
cat__user_countryid_62.0,0.0
cat__user_countryid_63.0,0.0
cat__user_countryid_64.0,0.0
cat__user_countryid_65.0,0.0
cat__user_countryid_66.0,0.0
cat__user_countryid_68.0,0.0
cat__user_countryid_69.0,0.0
cat__user_countryid_70.0,0.0
cat__user_countryid_71.0,0.0
cat__user_countryid_73.0,0.0
cat__user_countryid_74.0,0.0
cat__user_countryid_75.0,0.0
cat__user_countryid_76.0,0.0
cat__user_countryid_77.0,0.0
cat__user_countryid_78.0,0.0
cat__user_countryid_79.0,0.0
cat__user_countryid_80.0,0.0
cat__user_countryid_81.0,0.0
cat__user_countryid_82.0,0.0
cat__user_countryid_83.0,0.0
cat__user_countryid_84.0,0.0
cat__user_countryid_85.0,0.0
cat__user_countryid_86.0,0.0
cat__user_countryid_87.0,0.0
cat__user_countryid_88.0,0.0
cat__user_countryid_89.0,0.0
cat__user_countryid_90.0,0.0
cat__user_countryid_91.0,0.0
cat__user_countryid_92.0,0.0
cat__user_countryid_93.0,0.0
cat__user_countryid_94.0,0.0
cat__user_countryid_95.0,0.0
cat__user_countryid_96.0,0.0
cat__user_countryid_97.0,0.0
cat__user_countryid_98.0,0.0
cat__user_countryid_99.0,0.0
cat__user_countryid_100.0,0.0
cat__user_countryid_101.0,0.0
cat__user_countryid_102.0,0.0
cat__user_countryid_103.0,0.0
cat__user_countryid_104.0,0.0
cat__user_countryid_105.0,0.0
cat__user_countryid_106.0,0.0
cat__user_countryid_107.0,0.0
cat__user_countryid_108.0,0.0
cat__user_countryid_109.0,0.0
cat__user_countryid_110.0,0.0
cat__user_countryid_111.0,0.0
cat__user_countryid_112.0,0.0
cat__user_countryid_113.0,0.0
cat__user_countryid_114.0,0.0
cat__user_countryid_115.0,0.0
cat__user_countryid_116.0,0.0
cat__user_countryid_118.0,0.0
cat__user_countryid_119.0,0.0
cat__user_countryid_120.0,0.0
cat__user_countryid_121.0,0.0
cat__user_countryid_122.0,0.0
cat__user_countryid_123.0,0.0
cat__user_countryid_124.0,0.0
cat__user_countryid_125.0,0.0
cat__user_countryid_126.0,0.0
